,state,population
0,California,39512223
1,Texas,28995881
2,Florida,21477737
3,New York,19453561
4,Illinois,12671821
5,Pennsylvania,12801989
6,Ohio,11689100
7,Georgia,10617423
8,North Carolina,10488084
9,Michigan,9986857
10,New Jersey,8882190
11,Virginia,8535519
12,Washington,7614893
13,Arizona,7278717
14,Massachusetts,6949503
15,Tennessee,6833174
16,Indiana,6732219
17,Missouri,6137428
18,Maryland,6045680
19,Wisconsin,5822434
20,Colorado,5758736
21,Minnesota,5639632
22,South Carolina,5148714
23,Alabama,4903185
24,Louisiana,4648794
25,Kentucky,4467673
26,Oregon,4217737
27,Oklahoma,3956971
28,Connecticut,3565287
29,Utah,3205958
30,Iowa,3155070
31,Nevada,3080156
32,Arkansas,3017825
33,Mississippi,2976149
34,Kansas,2913314
35,New Mexico,2096829
36,Nebraska,1934408
37,West Virginia,1792147
38,Idaho,1787065
39,Hawaii,1415872
40,New Hampshire,1359711
41,Maine,1344212
42,Montana,1068778
43,Rhode Island,1059361
44,Delaware,973764
45,South Dakota,884659
46,North Dakota,762062
47,Alaska,731545
48,DC,705749
49,Vermont,623989
50,Wyoming,578759
51,Total U.S.,321418820
